"Seq ID","Seq Description","GO ID","HUBGENE"
"ppt_70985","Q9FGJ3sp=Nuclear transcription factor Y subunit B-2 Arabidopsis thaliana (Mouse-ear cress)","GO:0009908, GO:0019760, GO:0045893, GO:0048579, GO:0051512, GO:0003700, GO:0003712, GO:0043565, GO:0046982, GO:0005634, GO:0005737","NO-H"
"ppt_72136","A0A078CM04tr=BnaC07g20410D protein  Brassica napus (Rape)","GO:0009738, GO:0009785, GO:0010262, GO:0019760, GO:0040029, GO:0045723, GO:0045893, GO:0048574, GO:0003682, GO:0003700, GO:0003712, GO:0033613, GO:0043565, GO:0046982, GO:0005634, GO:0005737","NO-H"
"ppt_72137","A0A078CM04tr=BnaC07g20410D protein  Brassica napus (Rape)","GO:0009738, GO:0009785, GO:0010262, GO:0019760, GO:0040029, GO:0045723, GO:0045893, GO:0048574, GO:0003682, GO:0003700, GO:0003712, GO:0033613, GO:0043565, GO:0046982, GO:0005634, GO:0005737","NO-H"
"ppt_72138","A0A078CM04tr=BnaC07g20410D protein  Brassica napus (Rape)","GO:0009738, GO:0009785, GO:0010262, GO:0019760, GO:0040029, GO:0045723, GO:0045893, GO:0048574, GO:0003682, GO:0003700, GO:0003712, GO:0033613, GO:0043565, GO:0046982, GO:0005634, GO:0005737","NO-H"
"ppt_72140","A0A078CM04tr=BnaC07g20410D protein  Brassica napus (Rape)","GO:0009738, GO:0009785, GO:0010262, GO:0019760, GO:0040029, GO:0045723, GO:0045893, GO:0048574, GO:0003682, GO:0003700, GO:0003712, GO:0033613, GO:0043565, GO:0046982, GO:0005634, GO:0005737","NO-H"
"ppt_72141","A0A078CM04tr=BnaC07g20410D protein  Brassica napus (Rape)","GO:0009738, GO:0009785, GO:0010262, GO:0019760, GO:0040029, GO:0045723, GO:0045893, GO:0048574, GO:0003682, GO:0003700, GO:0003712, GO:0033613, GO:0043565, GO:0046982, GO:0005634, GO:0005737","NO-H"
"ppt_72142","A0A078CM04tr=BnaC07g20410D protein  Brassica napus (Rape)","GO:0009738, GO:0009785, GO:0010262, GO:0019760, GO:0040029, GO:0045723, GO:0045893, GO:0048574, GO:0003682, GO:0003700, GO:0003712, GO:0033613, GO:0043565, GO:0046982, GO:0005634, GO:0005737","NO-H"
"ppt_72143","A0A078CM04tr=BnaC07g20410D protein  Brassica napus (Rape)","GO:0009738, GO:0009785, GO:0010262, GO:0019760, GO:0040029, GO:0045723, GO:0045893, GO:0048574, GO:0003682, GO:0003700, GO:0003712, GO:0033613, GO:0043565, GO:0046982, GO:0005634, GO:0005737","NO-H"
"ppt_72461","A0A151QR46tr=LINE-1 reverse transcriptase isogeny  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0005992, GO:0006278, GO:0006355, GO:0090502, GO:0003676, GO:0003700, GO:0003824, GO:0003964, GO:0004523","HUB"
"ppt_72463","A0A151QR46tr=LINE-1 reverse transcriptase isogeny  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0005992, GO:0006278, GO:0006355, GO:0090502, GO:0003676, GO:0003700, GO:0003824, GO:0003964, GO:0004523","HUB"
"ppt_72504","A5JYE8tr=R2R3-MYB transcription factor MYB4  Picea glauca (White spruce) (Pinus glauca)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_72505","A5JYE8tr=R2R3-MYB transcription factor MYB4  Picea glauca (White spruce) (Pinus glauca)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_72506","A5JYE8tr=R2R3-MYB transcription factor MYB4  Picea glauca (White spruce) (Pinus glauca)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_72507","A0A061F395tr=Myb domain protein 61, putative isoform 1  Theobroma cacao (Cacao) (Cocoa)","GO:0006355, GO:0010119, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_72508","H9XUF6tr=R2R3-MYB transcription factor MYB6  Epimedium sagittatum","GO:0006355, GO:0010119, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_72509","E4MX53tr=mRNA, clone: RTFL01-20-K13  Eutrema halophilum (Salt cress) (Sisymbrium halophilum)","GO:0006355, GO:0010119, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_72510","A0A061F395tr=Myb domain protein 61, putative isoform 1  Theobroma cacao (Cacao) (Cocoa)","GO:0006355, GO:0010119, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_72511","H9XUF6tr=R2R3-MYB transcription factor MYB6  Epimedium sagittatum","GO:0006355, GO:0010119, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_72513","A5JYE8tr=R2R3-MYB transcription factor MYB4  Picea glauca (White spruce) (Pinus glauca)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_76136","Q6F388sp=Heat stress transcription factor A-2e Oryza sativa subsp. japonica (Rice)","GO:0010200, GO:0034620, GO:0042542, GO:0061408, GO:0071456, GO:0000978, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_76137","Q6F388sp=Heat stress transcription factor A-2e Oryza sativa subsp. japonica (Rice)","GO:0010200, GO:0034620, GO:0042542, GO:0061408, GO:0071456, GO:0000978, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_76138","Q6F388sp=Heat stress transcription factor A-2e Oryza sativa subsp. japonica (Rice)","GO:0010200, GO:0034620, GO:0042542, GO:0061408, GO:0071456, GO:0000978, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_76139","Q6F388sp=Heat stress transcription factor A-2e Oryza sativa subsp. japonica (Rice)","GO:0010200, GO:0034620, GO:0042542, GO:0061408, GO:0071456, GO:0000978, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_76140","Q6F388sp=Heat stress transcription factor A-2e Oryza sativa subsp. japonica (Rice)","GO:0010200, GO:0034620, GO:0042542, GO:0061408, GO:0071456, GO:0000978, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_76142","Q6F388sp=Heat stress transcription factor A-2e Oryza sativa subsp. japonica (Rice)","GO:0010200, GO:0034620, GO:0042542, GO:0061408, GO:0071456, GO:0000978, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_76144","Q6F388sp=Heat stress transcription factor A-2e Oryza sativa subsp. japonica (Rice)","GO:0010200, GO:0034620, GO:0042542, GO:0061408, GO:0071456, GO:0000978, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_76145","Q6F388sp=Heat stress transcription factor A-2e Oryza sativa subsp. japonica (Rice)","GO:0010200, GO:0034620, GO:0042542, GO:0061408, GO:0071456, GO:0000978, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_76146","Q6F388sp=Heat stress transcription factor A-2e Oryza sativa subsp. japonica (Rice)","GO:0010200, GO:0034620, GO:0042542, GO:0061408, GO:0071456, GO:0000978, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_76147","Q6F388sp=Heat stress transcription factor A-2e Oryza sativa subsp. japonica (Rice)","GO:0010200, GO:0034620, GO:0042542, GO:0061408, GO:0071456, GO:0000978, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_76953","A0A0K0M793tr=DAL3  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0045944, GO:0000977, GO:0003700, GO:0046983, GO:0005634","NO-H"
"ppt_76954","A0A0K0M793tr=DAL3  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0045944, GO:0000977, GO:0003700, GO:0046983, GO:0005634","NO-H"
"ppt_76955","A0A0K0M793tr=DAL3  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0045944, GO:0000977, GO:0003700, GO:0046983, GO:0005634","NO-H"
"ppt_76956","Q40767tr=DAL3 protein  Picea abies (Norway spruce) (Picea excelsa)","GO:0045944, GO:0000977, GO:0003700, GO:0046983, GO:0005634","NO-H"
"ppt_76957","A0A0K0M793tr=DAL3  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0045944, GO:0000977, GO:0003700, GO:0046983, GO:0005634","NO-H"
"ppt_76958","A0A0K0M793tr=DAL3  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0045944, GO:0000977, GO:0003700, GO:0046983, GO:0005634","NO-H"
"ppt_76959","A0A0K0M793tr=DAL3  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0045944, GO:0000977, GO:0003700, GO:0046983, GO:0005634","NO-H"
"ppt_76960","A0A0K0M793tr=DAL3  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0045944, GO:0000977, GO:0003700, GO:0046983, GO:0005634","NO-H"
"ppt_76961","O24487tr=Putative MADS box transcription factor PrMADS9  Pinus radiata (Monterey pine) (Pinus insignis)","GO:0045944, GO:0000977, GO:0003700, GO:0046983, GO:0005634","NO-H"
"ppt_76962","O24487tr=Putative MADS box transcription factor PrMADS9  Pinus radiata (Monterey pine) (Pinus insignis)","GO:0045944, GO:0000977, GO:0003700, GO:0046983, GO:0005634","NO-H"
"ppt_77042","A9RQ18tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0099402, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_77043","A9RQ18tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0099402, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_77413","A9SDB2tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0008361, GO:0048364, GO:1900056, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_78427","Q40477sp=Ethylene-responsive transcription factor 4 Nicotiana tabacum (Common tobacco)","GO:0006355, GO:0050896, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_78428","Q9SAD4sp=Ethylene-responsive transcription factor ESR1 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0006952, GO:0009735, GO:0009873, GO:0009880, GO:0048825, GO:0090708, GO:1901700, GO:0003700, GO:0003899, GO:0005515, GO:0016787, GO:0032549, GO:0043565, GO:0005634, GO:0005829","NO-H"
"ppt_78429","Q9SAD4sp=Ethylene-responsive transcription factor ESR1 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0006952, GO:0009735, GO:0009873, GO:0009880, GO:0048825, GO:0090708, GO:1901700, GO:0003700, GO:0003899, GO:0005515, GO:0016787, GO:0032549, GO:0043565, GO:0005634, GO:0005829","NO-H"
"ppt_78430","Q9SAD4sp=Ethylene-responsive transcription factor ESR1 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0006952, GO:0009735, GO:0009873, GO:0009880, GO:0048825, GO:0090708, GO:1901700, GO:0003700, GO:0003899, GO:0005515, GO:0016787, GO:0032549, GO:0043565, GO:0005634, GO:0005829","NO-H"
"ppt_78431","O80339sp=Ethylene-responsive transcription factor 3 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0006952, GO:0010105, GO:0003677, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_78432","O80339sp=Ethylene-responsive transcription factor 3 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0006952, GO:0010105, GO:0003677, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_78433","Q9FE67sp=Ethylene-responsive transcription factor 9 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0009873, GO:0019760, GO:0003677, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_78434","Q9FE67sp=Ethylene-responsive transcription factor 9 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0006952, GO:0009873, GO:0019760, GO:0003677, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_79080","A0A0C9RI59tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_18815_3529 transcribed RNA sequence  Wollemia nobilis","GO:0000160, GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_79081","A0A0C9RI59tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_18815_3529 transcribed RNA sequence  Wollemia nobilis","GO:0000160, GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_80287","Q9FKL2sp=Transcription factor MYB36  Arabidopsis thaliana (Mouse-ear cress)","GO:0008285, GO:0035987, GO:0045597, GO:0045892, GO:0045893, GO:0050801, GO:2000067, GO:0003700, GO:0043565, GO:0005634, GO:0048226","NO-H"
"ppt_80313","A0A0B0MZE7tr=Transcription repressor MYB5-like protein  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_80314","A0A0E3JI09tr=MYB13  Scutellaria indica (Skullcap)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_80712","Q9C518sp=Transcription factor TCP8 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0008361, GO:0009653, GO:1900056, GO:0000978, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_80713","Q9C518sp=Transcription factor TCP8 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0008361, GO:0009653, GO:1900056, GO:0000978, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_80946","B8LPP6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_80947","A9NQM1tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_80949","B8LPP6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_80950","B8LPP6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_80952","B8LPP6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_81043","A0A0J8EMC3tr=Uncharacterized protein  Beta vulgaris subsp. vulgaris","GO:0006355, GO:0003677, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_81113","A0A166C1Z0tr=Uncharacterized protein  Daucus carota subsp. sativus","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_81280","M1VRQ6tr=Plastid RNA polymerase sigma factor X  Marchantia polymorpha (Liverwort) (Marchantia aquatica)","GO:0006352, GO:0006355, GO:2000142, GO:0003677, GO:0003700, GO:0016987, GO:0009507, GO:0009536","NO-H"
"ppt_81281","M1VRQ6tr=Plastid RNA polymerase sigma factor X  Marchantia polymorpha (Liverwort) (Marchantia aquatica)","GO:0006352, GO:0006355, GO:2000142, GO:0003677, GO:0003700, GO:0016987, GO:0009507, GO:0009536","NO-H"
"ppt_81282","M1VRQ6tr=Plastid RNA polymerase sigma factor X  Marchantia polymorpha (Liverwort) (Marchantia aquatica)","GO:0006352, GO:0006355, GO:2000142, GO:0003677, GO:0003700, GO:0016987, GO:0009507, GO:0009536","NO-H"
"ppt_81283","M1VRQ6tr=Plastid RNA polymerase sigma factor X  Marchantia polymorpha (Liverwort) (Marchantia aquatica)","GO:0006352, GO:0006355, GO:2000142, GO:0003677, GO:0003700, GO:0016987, GO:0009507, GO:0009536","NO-H"
"ppt_81454","O82166sp=AT-hook motif nuclear-localized protein 21  Arabidopsis thaliana (Mouse-ear cress)","GO:0045892, GO:0048440, GO:0048653, GO:0003680, GO:0003700, GO:0005654","NO-H"
"ppt_81455","O82166sp=AT-hook motif nuclear-localized protein 21  Arabidopsis thaliana (Mouse-ear cress)","GO:0045892, GO:0048440, GO:0048653, GO:0003680, GO:0003700, GO:0005654","NO-H"
"ppt_81456","O82166sp=AT-hook motif nuclear-localized protein 21  Arabidopsis thaliana (Mouse-ear cress)","GO:0045892, GO:0048440, GO:0048653, GO:0003680, GO:0003700, GO:0005654","NO-H"
"ppt_81859","Isoform3 of Transcription factor bHLH35 OS=Arabidopsis thaliana GN=BHLH35","GO:0006355, GO:0010039, GO:0034756, GO:0003677, GO:0003700, GO:0046983, GO:0005634","NO-H"
"ppt_81861","Q2HIV9sp=Transcription factor bHLH35 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0003677, GO:0003700, GO:0046983, GO:0005634","NO-H"
"ppt_82493","Q9SJG4sp=AT-hook motif nuclear-localized protein 16  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0010208, GO:0010228, GO:0010529, GO:0035067, GO:1900111, GO:0003680, GO:0003700, GO:0005515, GO:0031490, GO:0005634, GO:0016020","NO-H"
"ppt_82494","Q9SJG4sp=AT-hook motif nuclear-localized protein 16  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0010208, GO:0010228, GO:0010529, GO:0035067, GO:0045824, GO:1900111, GO:1900425, GO:0003680, GO:0003700, GO:0005515, GO:0031490, GO:0005634","NO-H"
"ppt_82495","Q9SJG4sp=AT-hook motif nuclear-localized protein 16  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0010208, GO:0010228, GO:0010529, GO:0035067, GO:1900111, GO:0003680, GO:0003700, GO:0005515, GO:0031490, GO:0005634","NO-H"
"ppt_82496","Q9SJG4sp=AT-hook motif nuclear-localized protein 16  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0010208, GO:0010228, GO:0010529, GO:0035067, GO:1900111, GO:0003680, GO:0003700, GO:0005515, GO:0031490, GO:0005634","NO-H"
"ppt_82497","Q9SJG4sp=AT-hook motif nuclear-localized protein 16  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0010208, GO:0010228, GO:0010529, GO:0035067, GO:1900111, GO:0003680, GO:0003700, GO:0005515, GO:0031490, GO:0005634","NO-H"
"ppt_82498","O49662sp=AT-hook motif nuclear-localized protein 24  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0009938, GO:0010228, GO:0003680, GO:0003700, GO:0043621, GO:0005634","NO-H"
"ppt_82541","A9S0X6tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0003700, GO:0005622, GO:0110165","NO-H"
"ppt_82542","A9S0X6tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0003700, GO:0005622, GO:0110165","NO-H"
"ppt_82543","A9S0X6tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0003700, GO:0005622, GO:0110165","NO-H"
"ppt_82544","A9S0X6tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0003700, GO:0005622, GO:0110165","NO-H"
"ppt_82545","A9S0X6tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0003700, GO:0005622, GO:0110165","NO-H"
"ppt_82546","A9S0X6tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0003700, GO:0005622, GO:0110165","NO-H"
"ppt_82547","A9S0X6tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0003700, GO:0005622, GO:0110165","NO-H"
"ppt_82548","A9S0X6tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0003700, GO:0005622, GO:0110165","NO-H"
"ppt_82549","A9S0X6tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0006355, GO:0003700, GO:0005622, GO:0110165","NO-H"
"ppt_82728","Q700D9sp=Putative Myb family transcription factor At1g14600 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_82826","Q9FGZ4sp=Probable WRKY transcription factor 48 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0009617, GO:0010200, GO:0042742, GO:0045893, GO:0000976, GO:0003677, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_83621","A0A103XFF9tr=AP2/ERF domain-containing protein  Cynara cardunculus var. scolymus (Artichoke) (Cynara scolymus)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_83622","A0A023ZYJ7tr=Ethylene responsive factor 1-like protein  Pinus massoniana","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_83958","K8EDN6tr=  Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein)  Bathycoccus prasinos","GO:0006355, GO:0003676, GO:0003700, GO:0005634","NO-H"
"ppt_83965","A0A0C9QQV4tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_13645_1761 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0005634, GO:0016021","NO-H"
"ppt_84170","A5JYE8tr=R2R3-MYB transcription factor MYB4  Picea glauca (White spruce) (Pinus glauca)","GO:0010087, GO:0030154, GO:0048731, GO:0050794, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_84171","A5JYE8tr=R2R3-MYB transcription factor MYB4  Picea glauca (White spruce) (Pinus glauca)","GO:0010087, GO:0030154, GO:0048731, GO:0050794, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_84514","A0A0D2P6G0sp=Beta-amylase  Gossypium raimondii (New World cotton)","GO:0000272, GO:0006355, GO:0048831, GO:0003700, GO:0016161, GO:0102229, GO:0005634","NO-H"
"ppt_84518","Q84XB3sp=Ethylene-responsive transcription factor 1 Solanum lycopersicum (Tomato) (Lycopersicon esculentum)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_85025","K7VXU7tr=DnaJ subfamily B member 13  Zea mays (Maize)","GO:0006355, GO:0006457, GO:0045454, GO:0051085, GO:0003677, GO:0003700, GO:0003723, GO:0016853, GO:0043565, GO:0051082, GO:0051087, GO:0005634, GO:0005829, GO:0016020, GO:0016021, GO:0042025","NO-H"
"ppt_85296","A0A0C9S9E5tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_7974_1677 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_85297","A0A0C9S9E5tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_7974_1677 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_85298","A0A0C9S9E5tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_7974_1677 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_85299","A0A0C9S9E5tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_7974_1677 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_85300","Q9SJ09sp=Probable WRKY transcription factor 59 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0098542, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_85302","A0A0C9S9E5tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_7974_1677 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_85303","A0A0C9S9E5tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_7974_1677 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_85304","A0A0C9S9E5tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_7974_1677 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_85967","G9LQW1tr=R2R3 MYB transcription factor  Vaccinium corymbosum (Highbush blueberry)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_85969","H6S373tr=R2R3-MYB transcription factor  Prunus avium (Cherry) (Cerasus avium)","GO:0009825, GO:0010200, GO:0030154, GO:0042335, GO:0045892, GO:0080091, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_85970","H6S373tr=R2R3-MYB transcription factor  Prunus avium (Cherry) (Cerasus avium)","GO:0009825, GO:0010200, GO:0030154, GO:0042335, GO:0045892, GO:0080091, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_86256","Q8H1E4sp=Ethylene-responsive transcription factor RAP2-4 Arabidopsis thaliana (Mouse-ear cress)","GO:0009409, GO:0009414, GO:0009416, GO:0009611, GO:0009620, GO:0009736, GO:0009873, GO:0045595, GO:0071472, GO:0003700, GO:0005515, GO:0043565, GO:0005634","NO-H"
"ppt_86257","Q8H1E4sp=Ethylene-responsive transcription factor RAP2-4 Arabidopsis thaliana (Mouse-ear cress)","GO:0009409, GO:0009414, GO:0009416, GO:0009611, GO:0009620, GO:0009736, GO:0009873, GO:0045595, GO:0071472, GO:0003700, GO:0005515, GO:0043565, GO:0005634","NO-H"
"ppt_86258","Q8H1E4sp=Ethylene-responsive transcription factor RAP2-4 Arabidopsis thaliana (Mouse-ear cress)","GO:0009409, GO:0009414, GO:0009416, GO:0009611, GO:0009620, GO:0009736, GO:0009873, GO:0045595, GO:0071472, GO:0003700, GO:0005515, GO:0043565, GO:0005634","NO-H"
"ppt_86260","Q8H1E4sp=Ethylene-responsive transcription factor RAP2-4 Arabidopsis thaliana (Mouse-ear cress)","GO:0009409, GO:0009414, GO:0009416, GO:0009611, GO:0009620, GO:0009736, GO:0009873, GO:0045595, GO:0071472, GO:0003700, GO:0005515, GO:0043565, GO:0005634","NO-H"
"ppt_86262","Q8H1E4sp=Ethylene-responsive transcription factor RAP2-4 Arabidopsis thaliana (Mouse-ear cress)","GO:0009409, GO:0009414, GO:0009416, GO:0009611, GO:0009620, GO:0009736, GO:0009873, GO:0045595, GO:0071472, GO:0003700, GO:0005515, GO:0043565, GO:0005634","NO-H"
"ppt_86263","Q8H1E4sp=Ethylene-responsive transcription factor RAP2-4 Arabidopsis thaliana (Mouse-ear cress)","GO:0009409, GO:0009414, GO:0009416, GO:0009611, GO:0009620, GO:0009736, GO:0009873, GO:0045595, GO:0071472, GO:0003700, GO:0005515, GO:0043565, GO:0005634","NO-H"
"ppt_86509","IsoformShort of Myb-related protein P OS=Zea mays GN=P","GO:0006355, GO:0010224, GO:0030154, GO:1900386, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_86510","A4F4L3tr=MYBPA1 protein  Vitis vinifera (Grape)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_86511","A0A0C9RQA5tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_25618_1608 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_86513","A0A0C9RQA5tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_25618_1608 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_86514","A0A199V1J1tr=Transcription factor MYB39  Ananas comosus (Pineapple) (Ananas ananas)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_86515","A0A061GKT7tr=Myb domain protein 4, putative  Theobroma cacao (Cacao) (Cocoa)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
